ID,Name,Description,ColumnSpec,Concepticon_ID,Concepticon_Gloss,Central_Concept,Core_Concept
fish,FISH,,,227,FISH,FISH,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
five,FIVE,,,493,FIVE,TWO,Swadesh-1952-200
flea,FLEA,,,232,FLEA,LOUSE,
flow,FLOW,,,2003,FLOW,GO,Swadesh-1952-200
flower,FLOWER,,,239,FLOWER,GHOST,Swadesh-1952-200
flymovethroughair,FLY (MOVE THROUGH AIR),,,1441,FLY (MOVE THROUGH AIR),RUN,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
foot,FOOT,,,1301,FOOT,LEG,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
forest,FOREST,,,420,FOREST,POST,Swadesh-1952-200
forget,FORGET,,,1523,FORGET,LOSE,
four,FOUR,,,1500,FOUR,TWO,Swadesh-1952-200
fox,FOX,,,1312,FOX,WOLF,
frog,FROG,,,503,FROG,,
frontpart,FRONT (PART),,,2194,FRONT (PART),,
frost,FROST,,,2034,FROST,COLD,
fruit,FRUIT,,,1507,FRUIT,GRAIN,
full,FULL,,,1429,FULL,MANY,Swadesh-1955-100 Starostin-1991-110 Holman-2008-40
give,GIVE,,,1447,GIVE,GIVE,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
goat,GOAT,,,1502,GOAT,LAMB,
good,GOOD,,,1035,GOOD,CORRECT (RIGHT),Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
grass,GRASS,,,606,GRASS,PASTURE,Swadesh-1952-200
green,GREEN,,,1425,GREEN,YELLOW,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
hail,HAIL,,,609,HAIL,,
hair,HAIR,,,1040,HAIR,FEATHER,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
hand,HAND,,,1277,HAND,ARM,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Holman-2008-40
hard,HARD,,,1884,HARD,STRONG,Tadmor-2009-100
heorsheorit,HE OR SHE OR IT,,,262,HE OR SHE OR IT,THAT,Tadmor-2009-100
head,HEAD,,,1256,HEAD,HEAD,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
hear,HEAR,,,1408,HEAR,KNOW (SOMETHING),Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
heart,HEART,,,1223,HEART,GHOST,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
heavy,HEAVY,,,1210,HEAVY,EXPENSIVE,Swadesh-1952-200 Starostin-1991-110 Tadmor-2009-100
here,HERE,,,136,HERE,THAT,Swadesh-1952-200
hideconceal,HIDE (CONCEAL),,,602,HIDE (CONCEAL),COVER,
high,HIGH,,,1265,HIGH,HIGH,
hold,HOLD,,,1448,HOLD,TAKE,Swadesh-1952-200
hornanatomy,HORN (ANATOMY),,,1393,HORN (ANATOMY),BRASS INSTRUMENT (HORN OR TRUMPET),Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
horse,HORSE,,,615,HORSE,HORSE,
hot,HOT,,,1286,HOT,HOT,
house,HOUSE,,,1252,HOUSE,HOUSE,Tadmor-2009-100
hundred,HUNDRED,,,1634,HUNDRED,,
hunt,HUNT,,,1435,HUNT,TAKE,Swadesh-1952-200
husband,HUSBAND,,,1200,HUSBAND,MAN,Swadesh-1952-200
i,I,,,1209,I,WE (INCLUSIVE),Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
ice,ICE,,,617,ICE,COLD,Swadesh-1952-200
inside,INSIDE,,,1606,INSIDE,LOW,
kill,KILL,,,1417,KILL,KILL,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
knead,KNEAD,,,274,KNEAD,SQUEEZE,
knee,KNEE,,,1371,KNEE,ARM,Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
knife,KNIFE,,,1352,KNIFE,KNIFE (FOR EATING),
knowsomething,KNOW (SOMETHING),,,1410,KNOW (SOMETHING),KNOW (SOMETHING),Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
late,LATE,,,477,LATE,NIGHT,
laugh,LAUGH,,,1355,LAUGH,LAUGH,Swadesh-1952-200 Tadmor-2009-100
leaf,LEAF,,,628,LEAF,FEATHER,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
learn,LEARN,,,504,LEARN,READ,
lick,LICK,,,319,LICK,DRINK,
liedown,LIE DOWN,,,215,LIE DOWN,SLEEP,
lightweight,LIGHT (WEIGHT),,,1052,LIGHT (WEIGHT),EASY,
liver,LIVER,,,1224,LIVER,GHOST,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
long,LONG,,,1203,LONG,HIGH,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
louse,LOUSE,,,1392,LOUSE,LOUSE,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
lung,LUNG,,,688,LUNG,GHOST,
maleperson,MALE PERSON,,,2106,MALE PERSON,,Swadesh-1952-200
many,MANY,,,1198,MANY,MANY,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
marryasman,MARRY (AS MAN),,,2164,MARRY (AS MAN),,
meat,MEAT,,,634,MEAT,FISH,Starostin-1991-110
middle,MIDDLE,,,1093,MIDDLE,HALF,
moon,MOON,,,1313,MOON,MOON,Swadesh-1955-100 Starostin-1991-110
morning,MORNING,,,1339,MORNING,DAWN,
mother,MOTHER,,,1216,MOTHER,FATHER-IN-LAW (OF MAN),Swadesh-1952-200
mountain,MOUNTAIN,,,639,MOUNTAIN,HILL,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Holman-2008-40
muroidmouseorrat,MUROID (MOUSE OR RAT),,,2139,MUROID (MOUSE OR RAT),,
mouth,MOUTH,,,674,MOUTH,NOSE,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
mud,MUD,,,640,MUD,COUNTRY,
clawornail,CLAW OR NAIL,,,2128,CLAW OR NAIL,FINGERNAIL,Starostin-1991-110
name,NAME,,,1405,NAME,LOUSE,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
near,NEAR,,,1942,NEAR,EDGE,Swadesh-1952-200 Starostin-1991-110
neck,NECK,,,1333,NECK,NECKLACE,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
needleforsewing,NEEDLE (FOR SEWING),,,1382,NEEDLE (FOR SEWING),NEEDLE (FOR SEWING),
new,NEW,,,1231,NEW,CHILD (DESCENDANT),Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
nine,NINE,,,1483,NINE,,
nit,NIT,,,267,NIT,LOUSE,
midday,MIDDAY,,,12,MIDDAY,MEAL,
nose,NOSE,,,1221,NOSE,NOSE,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
oldaged,OLD (AGED),,,2112,OLD (AGED),OLD,
one,ONE,,,1493,ONE,OTHER,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
outside,OUTSIDE,,,762,OUTSIDE,BACK,
pig,PIG,,,1337,PIG,PIG,
plantsomething,PLANT (SOMETHING),,,1486,PLANT (SOMETHING),CULTIVATE,
play,PLAY,,,1413,PLAY,PLAY,Swadesh-1952-200
pull,PULL,,,1455,PULL,PULL,Swadesh-1952-200
push,PUSH,,,1452,PUSH,SQUEEZE,Swadesh-1952-200
rainprecipitation,RAIN (PRECIPITATION),,,658,RAIN (PRECIPITATION),WATER,Starostin-1991-110 Tadmor-2009-100
red,RED,,,156,RED,YELLOW,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
dwelllivereside,"DWELL (LIVE, RESIDE)",,,363,"DWELL (LIVE, RESIDE)","DWELL (LIVE, RESIDE)",
riceplant,RICE PLANT,,,2026,RICE PLANT,RICE,
road,ROAD,,,667,ROAD,PATH,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
root,ROOT,,,670,ROOT,THREAD,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
rope,ROPE,,,1218,ROPE,THREAD,Swadesh-1952-200 Tadmor-2009-100
round,ROUND,,,1395,ROUND,CIRCLE,Swadesh-1955-100 Starostin-1991-110
run,RUN,,,1519,RUN,RUN,Tadmor-2009-100
salt,SALT,,,1274,SALT,SALTY,Swadesh-1952-200 Starostin-1991-110 Tadmor-2009-100
salty,SALTY,,,1091,SALTY,SALTY,
sand,SAND,,,671,SAND,COUNTRY,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
scratch,SCRATCH,,,1436,SCRATCH,SCRAPE,Swadesh-1952-200
see,SEE,,,1409,SEE,SEE,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
seven,SEVEN,,,1704,SEVEN,TWO,
sharp,SHARP,,,1396,SHARP,SHARP,Swadesh-1952-200
sheep,SHEEP,,,1331,SHEEP,LAMB,
shoot,SHOOT,,,1172,SHOOT,KILL,
short,SHORT,,,1645,SHORT,LOW,Swadesh-1952-200 Starostin-1991-110
shy,SHY,,,487,SHY,FEAR (BE AFRAID),
sickle,SICKLE,,,341,SICKLE,,
sing,SING,,,1261,SING,PLAY,Swadesh-1952-200
six,SIX,,,1703,SIX,TWO,
skin,SKIN,,,763,SKIN,BARK,Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
sky,SKY,,,1732,SKY,DAY (NOT NIGHT),Swadesh-1952-200
sleep,SLEEP,,,1585,SLEEP,SLEEP,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
small,SMALL,,,1246,SMALL,SMALL,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
smellperceive,SMELL (PERCEIVE),,,1586,SMELL (PERCEIVE),STINKING,Swadesh-1952-200
smokeexhaust,SMOKE (EXHAUST),,,778,SMOKE (EXHAUST),SMOKE (EXHAUST),Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
snake,SNAKE,,,730,SNAKE,MOSQUITO,Swadesh-1952-200 Starostin-1991-110
snow,SNOW,,,784,SNOW,COLD,Swadesh-1952-200
soft,SOFT,,,1856,SOFT,SMOOTH,
son,SON,,,1620,SON,CHILD (DESCENDANT),
sparrow,SPARROW,,,1854,SPARROW,,
spider,SPIDER,,,843,SPIDER,MAT,
spit,SPIT,,,1440,SPIT,SPIT,Swadesh-1952-200
stand,STAND,,,1442,STAND,GO UP (ASCEND),Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
star,STAR,,,1430,STAR,FISH,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
steal,STEAL,,,713,STEAL,THIEF,
stick,STICK,,,1295,STICK,POST,Swadesh-1952-200
stone,STONE,,,857,STONE,HILL,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Holman-2008-40
straight,STRAIGHT,,,1404,STRAIGHT,CORRECT (RIGHT),Swadesh-1952-200
sun,SUN,,,1343,SUN,DAY (NOT NIGHT),Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Holman-2008-40
tail,TAIL,,,1220,TAIL,GRAIN,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
ten,TEN,,,1515,TEN,MANY,
that,THAT,,,78,THAT,THAT,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
there,THERE,,,1937,THERE,THAT,Swadesh-1952-200
thick,THICK,,,1244,THICK,MANY,Swadesh-1952-200 Tadmor-2009-100
upperlegthigh,UPPER LEG (THIGH),,,471,UPPER LEG (THIGH),LEG,Tadmor-2009-100
thinofshapeofobject,THIN (OF SHAPE OF OBJECT),,,2249,THIN (OF SHAPE OF OBJECT),SMALL,Starostin-1991-110
thinkreflect,THINK (REFLECT),,,1415,THINK (REFLECT),THINK (REFLECT),
this,THIS,,,1214,THIS,THAT,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
thou,THOU,,,1215,THOU,THAT,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
three,THREE,,,492,THREE,TWO,Swadesh-1952-200
throw,THROW,,,1456,THROW,KILL,Swadesh-1952-200
tiger,TIGER,,,846,TIGER,,
today,TODAY,,,1283,TODAY,IMMEDIATELY,
tomorrow,TOMORROW,,,1329,TOMORROW,DAWN,
tongue,TONGUE,,,1205,TONGUE,SPEAK,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
tooth,TOOTH,,,1380,TOOTH,LOUSE,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
tree,TREE,,,906,TREE,POST,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Holman-2008-40
twenty,TWENTY,,,1710,TWENTY,,
two,TWO,,,1498,TWO,TWO,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Holman-2008-40
walk,WALK,,,1443,WALK,GO,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
water,WATER,,,948,WATER,WATER,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
weinclusive,WE (INCLUSIVE),,,1131,WE (INCLUSIVE),WE (INCLUSIVE),
wet,WET,,,1726,WET,YELLOW,Swadesh-1952-200
what,WHAT,,,1236,WHAT,HOW,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
wheat,WHEAT,,,1077,WHEAT,GRAIN,
where,WHERE,,,1237,WHERE,HOW,Swadesh-1952-200
white,WHITE,,,1335,WHITE,CLEAN,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
who,WHO,,,1235,WHO,HOW,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
wife,WIFE,,,1199,WIFE,WOMAN,Swadesh-1952-200
wind,WIND,,,960,WIND,BLOW (OF WIND),Swadesh-1952-200 Starostin-1991-110 Tadmor-2009-100
wing,WING,,,1257,WING,FEATHER,Swadesh-1952-200 Tadmor-2009-100
wipe,WIPE,,,1454,WIPE,SCRAPE,Swadesh-1952-200
wolf,WOLF,,,522,WOLF,WOLF,
woman,WOMAN,,,962,WOMAN,WOMAN,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
wood,WOOD,,,1803,WOOD,POST,Tadmor-2009-100
year,YEAR,,,1226,YEAR,SUMMER,Swadesh-1952-200 Starostin-1991-110
yellow,YELLOW,,,1424,YELLOW,YELLOW,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
yesterday,YESTERDAY,,,1174,YESTERDAY,DAWN,Tadmor-2009-100
you,YOU,,,1213,YOU,THAT,Swadesh-1952-200
young,YOUNG,,,1207,YOUNG,CHILD (DESCENDANT),
shitdefecate,SHIT (DEFECATE),,,676,SHIT (DEFECATE),PISS,
we,WE,,,1212,WE,WE (INCLUSIVE),Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Holman-2008-40
youhonorific,YOU (HONORIFIC),,,3293,YOU (HONORIFIC),,
thouhonorific,THOU (HONORIFIC),,,3292,THOU (HONORIFIC),,
they,THEY,,,817,THEY,THAT,Swadesh-1952-200
she,SHE,,,1834,SHE,THAT,
he,HE,,,1211,HE,THAT,Swadesh-1952-200
arrow,ARROW,,,977,ARROW,BOW,
ash,ASH,,,646,ASH,SMOKE (EXHAUST),Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
axe,AXE,,,677,AXE,AXE,
back,BACK,,,1291,BACK,BACK,Swadesh-1952-200 Tadmor-2009-100
banana,BANANA,,,868,BANANA,,
bear,BEAR,,,1820,BEAR,,
bee,BEE,,,665,BEE,BEE,
betelnut,BETELNUT,,,217,BETELNUT,,
bitter,BITTER,,,887,BITTER,SALTY,Tadmor-2009-100
blanket,BLANKET,,,806,BLANKET,MAT,
boat,BOAT,,,1844,BOAT,CANOE,
body,BODY,,,1480,BODY,BARK,
bow,BOW,,,994,BOW,BOW,
broken,BROKEN,,,588,BROKEN,DESTROY,
broom,BROOM,,,245,BROOM,RAKE,
buffalo,BUFFALO,,,934,BUFFALO,,
cabbage,CABBAGE,,,774,CABBAGE,,
candle,CANDLE,,,1273,CANDLE,FIRE,
cat,CAT,,,1208,CAT,JAGUAR,
cauliflower,CAULIFLOWER,,,2843,CAULIFLOWER,,
cheek,CHEEK,,,1730,CHEEK,JAW,
chicken,CHICKEN,,,1318,CHICKEN,CHICKEN,
chin,CHIN,,,1510,CHIN,JAW,
cloth,CLOTH,,,1616,CLOTH,CLOTHES,
clothes,CLOTHES,,,1895,CLOTHES,CLOTHES,
cockroach,COCKROACH,,,1575,COCKROACH,,
coconut,COCONUT,,,970,COCONUT,,
cookedrice,COOKED RICE,,,1191,COOKED RICE,RICE,
maize,MAIZE,,,506,MAIZE,GRAIN,
cow,COW,,,1007,COW,CATTLE,
crocodile,CROCODILE,,,1857,CROCODILE,LIZARD,
daynotnight,DAY (NOT NIGHT),,,1225,DAY (NOT NIGHT),DAY (NOT NIGHT),Swadesh-1952-200
deep,DEEP,,,1593,DEEP,HIGH,
deer,DEER,,,1936,DEER,LAMB,
different,DIFFERENT,,,2504,DIFFERENT,,
door,DOOR,,,1567,DOOR,GLASS,
duck,DUCK,,,1360,DUCK,GOOSE,
aubergine,AUBERGINE,,,1146,AUBERGINE,,
elbow,ELBOW,,,981,ELBOW,ARM,
olderbrother,OLDER BROTHER,,,1759,OLDER BROTHER,SISTER,
oldersister,OLDER SISTER,,,1758,OLDER SISTER,SISTER,
elephant,ELEPHANT,,,1290,ELEPHANT,,
eleven,ELEVEN,,,1706,ELEVEN,,
empty,EMPTY,,,1624,EMPTY,NOT,
evening,EVENING,,,1629,EVENING,NIGHT,
face,FACE,,,1560,FACE,JAW,
fast,FAST,,,1631,FAST,IMMEDIATELY,
fatobese,FAT (OBESE),,,1279,FAT (OBESE),MANY,
few,FEW,,,1242,FEW,SMALL,Swadesh-1952-200
finger,FINGER,,,1303,FINGER,ARM,
fingernail,FINGERNAIL,,,1258,FINGERNAIL,FINGERNAIL,
flyinsect,FLY (INSECT),,,1504,FLY (INSECT),MOSQUITO,Tadmor-2009-100
friend,FRIEND,,,1325,FRIEND,SISTER,
garlic,GARLIC,,,2368,GARLIC,,
gold,GOLD,,,1369,GOLD,SILVER,
hairhead,HAIR (HEAD),,,2648,HAIR (HEAD),FEATHER,
hammer,HAMMER,,,1481,HAMMER,AXE,
gecko,GECKO,,,2355,GECKO,,
howmany,HOW MANY,,,822,HOW MANY,HOW MUCH,
behungry,BE HUNGRY,,,1533,BE HUNGRY,HUNGER,
insect,INSECT,,,620,INSECT,MOSQUITO,
jackfruit,JACKFRUIT,,,2655,JACKFRUIT,,
left,LEFT,,,244,LEFT,,Swadesh-1952-200
lightning,LIGHTNING,,,1654,LIGHTNING,THUNDER,
limematerial,LIME (MATERIAL),,,2540,LIME (MATERIAL),,
liquor,LIQUOR,,,842,LIQUOR,,
man,MAN,,,1554,MAN,MAN,Swadesh-1955-100 Starostin-1991-110
mango,MANGO,,,2398,MANGO,,
medicine,MEDICINE,,,1372,MEDICINE,POISON,
milk,MILK,,,635,MILK,BREAST,
monkey,MONKEY,,,1350,MONKEY,,
month,MONTH,,,1370,MONTH,MOON,
mosquito,MOSQUITO,,,1509,MOSQUITO,MOSQUITO,
narrow,NARROW,,,1267,NARROW,SMALL,Swadesh-1952-200
night,NIGHT,,,1233,NIGHT,NIGHT,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
oilorganicsubstance,OIL (ORGANIC SUBSTANCE),,,1484,OIL (ORGANIC SUBSTANCE),FAT (ORGANIC SUBSTANCE),
onion,ONION,,,2366,ONION,,
palmofhand,PALM OF HAND,,,1183,PALM OF HAND,ARM,
paper,PAPER,,,648,PAPER,LETTER,
path,PATH,,,2252,PATH,PATH,Holman-2008-40
groundnutpeanut,GROUNDNUT (PEANUT),,,595,GROUNDNUT (PEANUT),,
person,PERSON,,,683,PERSON,MAN,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Holman-2008-40
pillow,PILLOW,,,1044,PILLOW,,
potato,POTATO,,,593,POTATO,YAM,
rabbit,RABBIT,,,1136,RABBIT,RABBIT,
rainbow,RAINBOW,,,1733,RAINBOW,BOW,
rat,RAT,,,1490,RAT,RAT,
chilipepper,CHILI PEPPER,,,919,CHILI PEPPER,PEPPER,
right,RIGHT,,,1019,RIGHT,CORRECT (RIGHT),Swadesh-1952-200
ring,RING,,,1374,RING,CIRCLE,
ripe,RIPE,,,178,RIPE,YELLOW,
river,RIVER,,,666,RIVER,WATER,Swadesh-1952-200
roof,ROOF,,,769,ROOF,PASTURE,
rotten,ROTTEN,,,1728,ROTTEN,STINKING,Swadesh-1952-200
same,SAME,,,200,SAME,SEEM,
sea,SEA,,,1474,SEA,LAKE,Swadesh-1952-200
seed,SEED,,,714,SEED,GRAIN,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
shallow,SHALLOW,,,193,SHALLOW,LOW,
silver,SILVER,,,759,SILVER,SILVER,
slow,SLOW,,,701,SLOW,NIGHT,
some,SOME,,,1241,SOME,SMALL,Swadesh-1952-200
sour,SOUR,,,1906,SOUR,SALTY,
spear,SPEAR,,,945,SPEAR,BOW,
spicy,SPICY,,,544,SPICY,,
spoon,SPOON,,,1378,SPOON,RAKE,
sugarcane,SUGAR CANE,,,146,SUGAR CANE,SWEET,
sweatsubstance,SWEAT (SUBSTANCE),,,125,SWEAT (SUBSTANCE),,
sweet,SWEET,,,717,SWEET,SWEET,Tadmor-2009-100
thinslim,THIN (SLIM),,,1400,THIN (SLIM),SMALL,
