ID,Name,Description,Feature_Spec
SeeAndKnow,see and know colexified or not,"
Computes if two concepts are expressed with the same form in a language (i.e. if they are
colexified).
","{""id"": ""SeeAndKnow"", ""name"": ""see and know colexified or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.Colexification"", ""args"": [[""SEE""], [""KNOW"", ""KNOW (SOMETHING)""]], ""kwargs"": {""ablist"": null, ""alabel"": null, ""blabel"": ""KNOW""}}, ""type"": ""bool"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""colexifies SEE and KNOW"", ""false"": ""does not colexify SEE and KNOW""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
SeeAndUnderstand,see and understand colexified or not,"
Computes if two concepts are expressed with the same form in a language (i.e. if they are
colexified).
","{""id"": ""SeeAndUnderstand"", ""name"": ""see and understand colexified or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.Colexification"", ""args"": [[""SEE""], [""UNDERSTAND""]], ""kwargs"": {""ablist"": null, ""alabel"": null, ""blabel"": null}}, ""type"": ""bool"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""colexifies SEE and UNDERSTAND"", ""false"": ""does not colexify SEE and UNDERSTAND""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
ElbowAndKnee,elbow and knee colexified or not,"
Computes if two concepts are expressed with the same form in a language (i.e. if they are
colexified).
","{""id"": ""ElbowAndKnee"", ""name"": ""elbow and knee colexified or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.Colexification"", ""args"": [[""ELBOW""], [""KNEE""]], ""kwargs"": {""ablist"": null, ""alabel"": null, ""blabel"": null}}, ""type"": ""bool"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""colexifies ELBOW and KNEE"", ""false"": ""does not colexify ELBOW and KNEE""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
FearAndSurprise,fear and surprise colexified or not,"
Computes if two concepts are expressed with the same form in a language (i.e. if they are
colexified).
","{""id"": ""FearAndSurprise"", ""name"": ""fear and surprise colexified or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.Colexification"", ""args"": [[""FEAR (BE AFRAID)"", ""FEAR (FRIGHT)"", ""FEAR OR FRIGHTEN""], [""SURPRISE (SOMEBODY)"", ""SURPRISED"", ""SURPRISE (FEELING)""]], ""kwargs"": {""ablist"": null, ""alabel"": ""FEAR"", ""blabel"": ""SURPRISE""}}, ""type"": ""bool"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""colexifies FEAR and SURPRISE"", ""false"": ""does not colexify FEAR and SURPRISE""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
CommonSubstringInElbowAndKnee,elbow and knee are partially colexified or not,"
Computes if forms for the two concepts share a substring (of length >= 3).

.. note:

    The substring is computed based on the from value, i.e. using whatever transcription
    is provided. It does not operate on graphemes of a segmented form.
","{""id"": ""CommonSubstringInElbowAndKnee"", ""name"": ""elbow and knee are partially colexified or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.SharedSubstring"", ""args"": [[""ELBOW""], [""KNEE""]], ""kwargs"": {""ablist"": null, ""alabel"": null, ""blabel"": null}}, ""type"": ""None"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""common substring in ELBOW and KNEE"", ""false"": ""no common substring in ELBOW and KNEE""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
CommonSubstringInManAndWoman,man and woman are partially colexified or not,"
Computes if forms for the two concepts share a substring (of length >= 3).

.. note:

    The substring is computed based on the from value, i.e. using whatever transcription
    is provided. It does not operate on graphemes of a segmented form.
","{""id"": ""CommonSubstringInManAndWoman"", ""name"": ""man and woman are partially colexified or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.SharedSubstring"", ""args"": [[""MAN"", ""MALE PERSON""], [""WOMAN"", ""FEMALE PERSON""]], ""kwargs"": {""ablist"": null, ""alabel"": ""MAN"", ""blabel"": ""WOMAN""}}, ""type"": ""None"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""common substring in MAN and WOMAN"", ""false"": ""no common substring in MAN and WOMAN""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
CommonSubstringInFearAndSurprise,fear and surprise are partially colexified or not,"
Computes if forms for the two concepts share a substring (of length >= 3).

.. note:

    The substring is computed based on the from value, i.e. using whatever transcription
    is provided. It does not operate on graphemes of a segmented form.
","{""id"": ""CommonSubstringInFearAndSurprise"", ""name"": ""fear and surprise are partially colexified or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.SharedSubstring"", ""args"": [[""FEAR (BE AFRAID)"", ""FEAR (FRIGHT)"", ""FEAR OR FRIGHTEN""], [""SURPRISE (SOMEBODY)"", ""SURPRISED"", ""SURPRISE (FEELING)""]], ""kwargs"": {""ablist"": null, ""alabel"": ""FEAR"", ""blabel"": ""SURPRISE""}}, ""type"": ""None"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""common substring in FEAR and SURPRISE"", ""false"": ""no common substring in FEAR and SURPRISE""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
CommonSubstringInBoyAndGirl,boy and girl are partially colexified or not,"
Computes if forms for the two concepts share a substring (of length >= 3).

.. note:

    The substring is computed based on the from value, i.e. using whatever transcription
    is provided. It does not operate on graphemes of a segmented form.
","{""id"": ""CommonSubstringInBoyAndGirl"", ""name"": ""boy and girl are partially colexified or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.SharedSubstring"", ""args"": [[""BOY"", ""BOY OR SON""], [""GIRL"", ""DAUGHTER OR GIRL""]], ""kwargs"": {""ablist"": null, ""alabel"": ""BOY"", ""blabel"": ""GIRL""}}, ""type"": ""None"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""common substring in BOY and GIRL"", ""false"": ""no common substring in BOY and GIRL""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
EyeInTear,eye partially colexified in tear,"
Computes if two concepts are partially colexified, i.e. if a form for the first concept is
contained in a form for the second concept.
","{""id"": ""EyeInTear"", ""name"": ""eye partially colexified in tear"", ""function"": {""class"": ""cltoolkit.features.lexicon.PartialColexification"", ""args"": [[""EYE""], [""TEAR (OF EYE)""]], ""kwargs"": {""ablist"": null, ""alabel"": null, ""blabel"": ""TEAR""}}, ""type"": ""None"", ""note"": ""similar to: APICS 111"", ""categories"": {""null"": ""missing data"", ""true"": ""EYE partially colexified in TEAR"", ""false"": ""EYE not partially colexified in TEAR""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
BowInElbow,bow partially colexified in elbow,"
Computes if two concepts are partially colexified, i.e. if a form for the first concept is
contained in a form for the second concept.
","{""id"": ""BowInElbow"", ""name"": ""bow partially colexified in elbow"", ""function"": {""class"": ""cltoolkit.features.lexicon.PartialColexification"", ""args"": [[""BOW""], [""ELBOW""]], ""kwargs"": {""ablist"": null, ""alabel"": null, ""blabel"": null}}, ""type"": ""None"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""BOW partially colexified in ELBOW"", ""false"": ""BOW not partially colexified in ELBOW""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
CornerInElbow,corner partially colexified in elbow,"
Computes if two concepts are partially colexified, i.e. if a form for the first concept is
contained in a form for the second concept.
","{""id"": ""CornerInElbow"", ""name"": ""corner partially colexified in elbow"", ""function"": {""class"": ""cltoolkit.features.lexicon.PartialColexification"", ""args"": [[""CORNER""], [""ELBOW""]], ""kwargs"": {""ablist"": null, ""alabel"": null, ""blabel"": null}}, ""type"": ""None"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""CORNER partially colexified in ELBOW"", ""false"": ""CORNER not partially colexified in ELBOW""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
WaterInTear,water partially colexified in tear,"
Computes if two concepts are partially colexified, i.e. if a form for the first concept is
contained in a form for the second concept.
","{""id"": ""WaterInTear"", ""name"": ""water partially colexified in tear"", ""function"": {""class"": ""cltoolkit.features.lexicon.PartialColexification"", ""args"": [[""WATER""], [""TEAR (OF EYE)""]], ""kwargs"": {""ablist"": null, ""alabel"": null, ""blabel"": ""TEAR""}}, ""type"": ""None"", ""note"": ""similar to: APICS 111"", ""categories"": {""null"": ""missing data"", ""true"": ""WATER partially colexified in TEAR"", ""false"": ""WATER not partially colexified in TEAR""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
TreeInBark,tree partially colexified in bark,"
Computes if two concepts are partially colexified, i.e. if a form for the first concept is
contained in a form for the second concept.
","{""id"": ""TreeInBark"", ""name"": ""tree partially colexified in bark"", ""function"": {""class"": ""cltoolkit.features.lexicon.PartialColexification"", ""args"": [[""TREE"", ""TREE OR WOOD""], [""BARK""]], ""kwargs"": {""ablist"": null, ""alabel"": ""TREE"", ""blabel"": null}}, ""type"": ""None"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""TREE partially colexified in BARK"", ""false"": ""TREE not partially colexified in BARK""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
SkinInBark,skin partially colexified in bark,"
Computes if two concepts are partially colexified, i.e. if a form for the first concept is
contained in a form for the second concept.
","{""id"": ""SkinInBark"", ""name"": ""skin partially colexified in bark"", ""function"": {""class"": ""cltoolkit.features.lexicon.PartialColexification"", ""args"": [[""SKIN"", ""SKIN (HUMAN)"", ""SKIN (ANIMAL)""], [""BARK""]], ""kwargs"": {""ablist"": null, ""alabel"": ""SKIN"", ""blabel"": null}}, ""type"": ""None"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""SKIN partially colexified in BARK"", ""false"": ""SKIN not partially colexified in BARK""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
MouthInLip,mouth partially colexified in lip,"
Computes if two concepts are partially colexified, i.e. if a form for the first concept is
contained in a form for the second concept.
","{""id"": ""MouthInLip"", ""name"": ""mouth partially colexified in lip"", ""function"": {""class"": ""cltoolkit.features.lexicon.PartialColexification"", ""args"": [[""MOUTH""], [""LIP""]], ""kwargs"": {""ablist"": null, ""alabel"": null, ""blabel"": null}}, ""type"": ""None"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""MOUTH partially colexified in LIP"", ""false"": ""MOUTH not partially colexified in LIP""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
SkinInLip,skin partially colexified in lip,"
Computes if two concepts are partially colexified, i.e. if a form for the first concept is
contained in a form for the second concept.
","{""id"": ""SkinInLip"", ""name"": ""skin partially colexified in lip"", ""function"": {""class"": ""cltoolkit.features.lexicon.PartialColexification"", ""args"": [[""SKIN"", ""SKIN (HUMAN)"", ""SKIN (ANIMAL)""], [""LIP""]], ""kwargs"": {""ablist"": null, ""alabel"": ""SKIN"", ""blabel"": null}}, ""type"": ""None"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""SKIN partially colexified in LIP"", ""false"": ""SKIN not partially colexified in LIP""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
HandInFinger,hand partially colexified in finger,"
Computes if two concepts are partially colexified, i.e. if a form for the first concept is
contained in a form for the second concept.
","{""id"": ""HandInFinger"", ""name"": ""hand partially colexified in finger"", ""function"": {""class"": ""cltoolkit.features.lexicon.PartialColexification"", ""args"": [[""HAND"", ""ARM OR HAND""], [""FINGER"", ""FINGER OR TOE""]], ""kwargs"": {""ablist"": null, ""alabel"": ""HAND"", ""blabel"": ""FINGER""}}, ""type"": ""None"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""HAND partially colexified in FINGER"", ""false"": ""HAND not partially colexified in FINGER""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
FootInToe,foot partially colexified in toe,"
Computes if two concepts are partially colexified, i.e. if a form for the first concept is
contained in a form for the second concept.
","{""id"": ""FootInToe"", ""name"": ""foot partially colexified in toe"", ""function"": {""class"": ""cltoolkit.features.lexicon.PartialColexification"", ""args"": [[""FOOT"", ""FOOT OR LEG""], [""TOE"", ""FINGER OR TOE""]], ""kwargs"": {""ablist"": null, ""alabel"": ""FOOT"", ""blabel"": ""TOE""}}, ""type"": ""None"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""FOOT partially colexified in TOE"", ""false"": ""FOOT not partially colexified in TOE""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
ThreeInEight,three partially colexified in eight,"
Computes if two concepts are partially colexified, i.e. if a form for the first concept is
contained in a form for the second concept.
","{""id"": ""ThreeInEight"", ""name"": ""three partially colexified in eight"", ""function"": {""class"": ""cltoolkit.features.lexicon.PartialColexification"", ""args"": [[""THREE""], [""EIGHT""]], ""kwargs"": {""ablist"": null, ""alabel"": null, ""blabel"": null}}, ""type"": ""None"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""THREE partially colexified in EIGHT"", ""false"": ""THREE not partially colexified in EIGHT""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
ThreeInThirteen,three partially colexified in thirteen,"
Computes if two concepts are partially colexified, i.e. if a form for the first concept is
contained in a form for the second concept.
","{""id"": ""ThreeInThirteen"", ""name"": ""three partially colexified in thirteen"", ""function"": {""class"": ""cltoolkit.features.lexicon.PartialColexification"", ""args"": [[""THREE""], [""THIRTEEN""]], ""kwargs"": {""ablist"": null, ""alabel"": null, ""blabel"": null}}, ""type"": ""None"", ""note"": null, ""categories"": {""null"": ""missing data"", ""true"": ""THREE partially colexified in THIRTEEN"", ""false"": ""THREE not partially colexified in THIRTEEN""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
FingerAndToe,finger and toe colexified or not,"
Computes if two concepts are expressed with the same form in a language (i.e. if they are
colexified).
","{""id"": ""FingerAndToe"", ""name"": ""finger and toe colexified or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.Colexification"", ""args"": [[""FINGER""], [""TOE""]], ""kwargs"": {""ablist"": [""FINGER OR TOE""], ""alabel"": null, ""blabel"": null}}, ""type"": ""bool"", ""note"": ""similar to: APICS 113"", ""categories"": {""null"": ""missing data"", ""true"": ""colexifies FINGER and TOE"", ""false"": ""does not colexify FINGER and TOE""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
HairAndFeather,hair and feather colexified or not,"
Computes if two concepts are expressed with the same form in a language (i.e. if they are
colexified).
","{""id"": ""HairAndFeather"", ""name"": ""hair and feather colexified or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.Colexification"", ""args"": [[""HAIR (BODY)"", ""HAIR (HEAD)"", ""HAIR""], [""FEATHER"", ""FUR""]], ""kwargs"": {""ablist"": [""FEATHER OR FUR OR HAIR"", ""HAIR OR FUR""], ""alabel"": ""HAIR"", ""blabel"": null}}, ""type"": ""bool"", ""note"": ""similar to: APICS 114"", ""categories"": {""null"": ""missing data"", ""true"": ""colexifies HAIR and FEATHER, FUR"", ""false"": ""does not colexify HAIR and FEATHER, FUR""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
HearAndSmell,hear and smell colexified or not,"
Computes if two concepts are expressed with the same form in a language (i.e. if they are
colexified).
","{""id"": ""HearAndSmell"", ""name"": ""hear and smell colexified or not"", ""function"": {""class"": ""cltoolkit.features.lexicon.Colexification"", ""args"": [[""HEAR"", ""EAR OR HEAR"", ""HEAR OR LISTEN""], [""SMELL"", ""SMELL (PERCEIVE)""]], ""kwargs"": {""ablist"": null, ""alabel"": ""HEAR"", ""blabel"": ""SMELL""}}, ""type"": ""bool"", ""note"": ""similar to: APICS 115"", ""categories"": {""null"": ""missing data"", ""true"": ""colexifies HEAR and SMELL"", ""false"": ""does not colexify HEAR and SMELL""}, ""requires"": [""cltoolkit.features.reqs.concepts""]}"
