ID	Concepts	Concepticon	Dataset	Organization	Source	Zenodo	ClicsCore	LexiCore	CogCore	ProtoCore	Version
kraftchadic	433	429	kraftchadic	lexibank	Kraft1981	10.5281/zenodo.13832124	x	x			v4.1
lairgyalrong	291	291	lairgyalrong	lexibank	Lai2023	10.5281/zenodo.14001762	x	x	x		v0.4
lamanisoic	301	283	lamanisoic	lexibank	Lama2012	10.5281/zenodo.13169526	x	x			v1.1
leeainu	199	199	leeainu	lexibank	Lee2013	10.5281/zenodo.14602119	x	x			v1.2
leecaijia	234	234	leecaijia	lexibank	Lee2022	10.5281/zenodo.13253594	x	x			v1.0
leejaponic	210	210	leejaponic	lexibank	Lee2011	10.5281/zenodo.13254646	x	x			v1.1
leekoreanic	246	246	leekoreanic	lexibank	Lee2015	10.5281/zenodo.13254649	x	x	x		v1.1
lindseyende	1129	1128	lindseyende	intercontinental-dictionary-series	Lindsey2019	10.5281/zenodo.13254739	x	x			v2.2
lionnetyotonahua	364	292	lionnetyotonahua	lexibank	Lionnet1985	10.5281/zenodo.13169353	x	x	x		v1.0
listsamplesize	550	549	listsamplesize	sequencecomparison	List2014c	10.5281/zenodo.13169429	x	x	x		v1.1
liunewari	180	180	liunewari	lexibank	Liu2023b	10.5281/zenodo.14597363	x	x			v1.1
liusinitic	203	202	liusinitic	lexibank	Liu2007	10.5281/zenodo.13254682	x	x	x		v1.4
luangthongkumkaren	341	249	luangthongkumkaren	lexibank	Luangthongkum2019	10.5281/zenodo.13254728	x	x	x	x	v1.1
mannburmish	391	388	mannburmish	lexibank	Mann1998	10.5281/zenodo.13235497	x	x	x		v1.3
marrisonnaga	884	827	marrisonnaga	lexibank	Marrison1967	10.5281/zenodo.13235510	x	x			v3.1
mitterhoferbena	355	336	mitterhoferbena	lexibank	Mitterhofer2013	10.5281/zenodo.13235478	x	x			v3.1
mixtecansubgrouping	240	204	mixtecansubgrouping	lexibank	Auderset2023	10.5281/zenodo.14001610	x	x	x		v0.4
naganorgyalrongic	1256	900	naganorgyalrongic	lexibank	Nagano2013	10.5281/zenodo.13220621	x	x			v3.1
nagarajakhasian	200	200	nagarajakhasian	lexibank	Nagaraja2013	10.5281/zenodo.13269522	x	x	x		v1.1
ndanda	200	200	ndanda	kpaam-cam	Taffre2021	10.5281/zenodo.14599868	x	x			v1.1
northperulex	200	200	northperulex	lexibank	Barrientos2024	10.5281/zenodo.14602106	x	x			v0.2
northeuralex	1016	954	northeuralex	lexibank	Dellert2020	10.5281/zenodo.13269523	x	x			v4.1
oskolskayatungusic	254	254	oskolskayatungusic	lexibank	Oskolskaya2022	10.5281/zenodo.13163376	x	x	x		v1.1
othanieljen	300	285	othanieljen	lexibank	Othaniel2017	10.5281/zenodo.13829625	x	x			v1.2
papuanvoices	215	215	papuanvoices	lexibank	Sawaki2020	10.5281/zenodo.14610312	x	x			v1.2
polyglottaafricana	319	263	polyglottaafricana	lexibank	Koelle1854	10.5281/zenodo.13221020	x	x			v2.1
robbeetstriangulation	253	253	robbeetstriangulation	lexibank	Robbeets2021	10.5281/zenodo.14614177	x	x	x		v0.3
robinsonap	398	392	robinsonap	lexibank	Robinson2012	10.5281/zenodo.13163515	x	x	x		v4.1
sagartst	250	250	sagartst	lexibank	Sagart2019	10.5281/zenodo.13162889	x	x	x		v2.1
savelyevturkic	254	254	savelyevturkic	lexibank	Savelyev2020	10.5281/zenodo.13163242	x	x	x		v2.1
sawkatokaleya	201	199	sawkatokaleya	lexibank	Sawka2019	10.5281/zenodo.13164643	x	x			v1.0
seifartecheverriboran	408	351	seifartecheverriboran	lexibank	Seifart2015	10.5281/zenodo.13164427	x	x	x	x	v1.0
servamalagasy	207	207	servamalagasy	digling	Serva2020	10.5281/zenodo.13168397	x	x			v1.1
sidwellbahnaric	200	200	sidwellbahnaric	lexibank	Sidwell2015	10.5281/zenodo.13162996	x	x	x		v1.1
simsrma	233	190	simsrma	lexibank	Sims2020	10.5281/zenodo.13168246	x	x	x		v1.3
sohartmannchin	280	279	sohartmannchin	lexibank	SoHartmann1988	10.5281/zenodo.13163647	x	x			v3.1
spagnolmaltese	1277	1275	spagnolmaltese	intercontinental-dictionary-series	Spagnol2024	10.5281/zenodo.14505927	x	x			v1.1
suntb	1004	931	suntb	lexibank	Sun1991	10.5281/zenodo.13304824	x	x			v4.1
tls	1052	650	tls	lexibank	Nurse1975	10.5281/zenodo.13163463	x	x			v4.2
tolmiebritishcolumbia	210	200	tolmiebritishcolumbia	lexibank	Tolmie1884	10.5281/zenodo.13143482	x	x			v1.1
transnewguineaorg	1176	888	transnewguineaorg	lexibank	Greenhill2015	10.5281/zenodo.14162587	x	x			v3.2
tryonsolomon	323	313	tryonsolomon	lexibank	Tryon1983	10.5281/zenodo.13150089	x	x			v3.1
tuled	447	439	tuled	lexibank	TULED	10.5281/zenodo.14777803	x	x	x		v1.0
vanuatuvoices	426	426	vanuatuvoices	lexibank	VanuatuVoices	10.5281/zenodo.14614178	x	x			v1.3
visserkalamang	855	854	visserkalamang	intercontinental-dictionary-series	Visser2021	10.5281/zenodo.13220870	x	x			v2.2
walworthpolynesian	210	210	walworthpolynesian	lexibank	Walworth2018	10.5281/zenodo.13218906	x	x	x		v1.1
wangbai	458	404	wangbai	lexibank	Wang2004b	10.5281/zenodo.13163051	x	x			v1.1
wold	1814	1458	wold	lexibank	WOLD	10.5281/zenodo.13861321	x	x			v4.1
yanglalo	1000	877	yanglalo	lexibank	Yang2011	10.5281/zenodo.13306849	x	x	x	x	v4.0
yangyi	1001	877	yangyi	lexibank	Yang2022	10.5281/zenodo.13220883	x	x			v1.3
yuchinese	1307	1305	yuchinese	intercontinental-dictionary-series	Yu2021	10.5281/zenodo.13284157	x	x			v2.1
zgraggenmadang	333	310	zgraggenmadang	lexibank	Zgraggen1980a	10.5281/zenodo.13163448	x	x			v4.1
zhaobai	201	200	zhaobai	lexibank	Zhao2006	10.5281/zenodo.13163115	x	x			v1.1
zhoubizic	346	301	zhoubizic	lexibank	Zhou2020	10.5281/zenodo.13168188	x	x			v1.2
birchallchapacuran	125	125	birchallchapacuran	lexibank	Birchall2016	10.5281/zenodo.13149660		x			v1.3
chaconarawakan	102	100	chaconarawakan	lexibank	Chacon2017	10.5281/zenodo.13149373		x	x		v2.1
chaconcolumbian	128	125	chaconcolumbian	lexibank	Chacon2017	10.5281/zenodo.13149391		x	x		v2.1
chaconnorthwestarawakan	94	94	chaconnorthwestarawakan	lexibank	Chacon2022	10.5281/zenodo.13150036		x	x		v1.0
chacontukanoan	142	127	chacontukanoan	lexibank	Chacon2014	10.5281/zenodo.13149485		x	x		v1.1
chingelong	99	98	chingelong	digling	Chin2015	10.5281/zenodo.13149785		x			v1.1
constenlachibchan	110	110	constenlachibchan	lexibank	Constenla2005	10.5281/zenodo.13149729		x	x		v1.1
crossandean	150	150	crossandean	lexibank	Blum2023	10.5281/zenodo.13149752		x	x		v1.2
davletshinaztecan	100	100	davletshinaztecan	lexibank	Davletshin2012	10.5281/zenodo.13149808		x	x	x	v1.1
deepadungpalaung	100	100	deepadungpalaung	lexibank	Deepadung2015	10.5281/zenodo.13149823		x	x		v1.2
dravlex	100	100	dravlex	lexibank	Kolipakam2018	10.5281/zenodo.13149853		x	x		v1.1
dunnaslian	146	146	dunnaslian	lexibank	Dunn2013	10.5281/zenodo.13149878		x	x		v1.1
duonglachi	100	100	duonglachi	lexibank	Duong2020	10.5281/zenodo.13829479		x			v1.2
felekesemitic	150	139	felekesemitic	lexibank	Feleke2021	10.5281/zenodo.13253766		x	x		v1.1
galuciotupi	100	100	galuciotupi	lexibank	Galucio2015	10.5281/zenodo.13253797		x	x		v1.1
gaotb	100	100	gaotb	digling	Gao2020	10.5281/zenodo.13254735		x	x		v1.1
houchinese	140	139	houchinese	sequencecomparison	Hou2004	10.5281/zenodo.13254732		x	x		v1.1
iecor	170	170	iecor	lexibank	Heggarty2024	10.5281/zenodo.13304537		x	x		v1.2
joophonosemantic	100	100	joophonosemantic	lexibank	Joo2019	10.5281/zenodo.13254582		x			v1.2
kleinewillinghoeferbikwinjen	119	117	kleinewillinghoeferbikwinjen	lexibank	Kleinewillinghoefer2015	10.5281/zenodo.13829628		x			v1.2
lieberherrkhobwa	100	100	lieberherrkhobwa	lexibank	Lieberherr2017	10.5281/zenodo.13319047		x	x		v2.1
mcelhanonhuon	140	140	mcelhanonhuon	lexibank	McElhanon1967	10.5281/zenodo.13269405		x	x		v1.1
peirosaustroasiatic	100	100	peirosaustroasiatic	lexibank	Peiros1998	10.5281/zenodo.13168443		x	x		v1.1
pharaocoracholaztecan	100	100	pharaocoracholaztecan	lexibank	Pharao2020	10.5281/zenodo.13304640		x	x	x	v1.1.1
ratcliffearabic	100	100	ratcliffearabic	lexibank	Ratcliffe2021	10.5281/zenodo.13162864		x	x		v1.1
saenkoromance	110	110	saenkoromance	lexibank	Saenko2015	10.5281/zenodo.13163492		x	x		v1.1
sidwellvietic	116	116	sidwellvietic	lexibank	Sidwell2021	10.5281/zenodo.13164573		x	x	x	v1.1
starostinkaren	110	110	starostinkaren	lexibank	Starostin2011	10.5281/zenodo.13168287		x	x		v1.0
starostinpie	110	110	starostinpie	sequencecomparison	Starostin2005b	10.5281/zenodo.13167172		x	x		v1.1
starostintujia	109	109	starostintujia	lexibank	Starostin2013b	10.5281/zenodo.13163694		x	x		v1.0
syrjaenenuralic	173	173	syrjaenenuralic	lexibank	Syrjaenen2013	10.5281/zenodo.13164684		x	x		v1.1
utoaztecan	121	121	utoaztecan	lexibank	Greenhill2023	10.5281/zenodo.14619055		x	x		v1.4
walkerarawakan	100	100	walkerarawakan	lexibank	Walker2011	10.5281/zenodo.13170587		x			v1.1
wheelerutoaztecan	102	101	wheelerutoaztecan	lexibank	Wheeler2015b	10.5281/zenodo.13170025		x			v1.1
wichmannmixezoquean	110	110	wichmannmixezoquean	lexibank	Wichmann2011	10.5281/zenodo.13163225		x	x		v1.1
zhivlovobugrian	110	110	zhivlovobugrian	sequencecomparison	Zhivlov2011	10.5281/zenodo.13220897		x	x		v1.1
