Name	ID	Glottocode	Family	Latitude	Longitude	Hits
Dupaningan Agta	abvdphilippines-730	dupa1235	Austronesian	17.3748	122.188	5
E: Vuindondo	vanuatuvoices-Evuindondo	east2443	Austronesian	-15.30571	167.971219	5
Fembe	transnewguineaorg-fembe	femb1238	East Strickland	-5.71596	142.254	5
Futuna, East	abvdoceanic-FutunaEast_210	east2447	Austronesian	-14.278717	-178.137222	5
Godoberi	idssegmented-godoberi	ghod1238	Nakh-Daghestanian	42.7428	46.2252	5
Guambiano	hubercolumbian-Guambiano	guam1248	Barbacoan	2.55849	-76.582	5
Hinuq	idssegmented-hinuq	hinu1240	Nakh-Daghestanian	42.4502	45.8064	5
Ilokano	abvdphilippines-288	ilok1237	Austronesian	15.9361	120.993	5
Itbayat	abvdphilippines-249	ivat1242	Austronesian	20.77	121.85	5
Jah Hut	dunnaslian-Jah_Hut	jahh1242	Austroasiatic	3.67619	102.291	5
Judeo-Tat	idssegmented-judeotat	jude1256	Indo-European	42.068306	48.264749	5
Kavalan F69	abvdphilippines-260	kava1241	Austronesian	24.6947	121.645	5
Khmu	nagarajakhasian-Khmu	khmu1256	Austroasiatic	20.2463	101.671	5
Kinaray-a	abvdphilippines-657	kina1250	Austronesian	10.8131	122.297	5
Koyo C.24	bantubvd-3	koyo1242	Atlantic-Congo	-0.69688	15.7508	5
Kuuku-Ya’u	bowernpny-KuukuYau	kuuk1238	Pama-Nyungan	-12.4947	143.165	5
Leipon	abvdoceanic-Leipon_69	leip1237	Austronesian	-1.9665	147.226	5
Lenca-Salvador	johanssonsoundsymbolic-Lencasalvador	lenc1243	Lencan	13.9278	-88.0422	5
Lengo	tryonsolomon-lengo	leng1259	Austronesian	-9.56425	160.42	5
Leo Tuvalu	walworthpolynesian-Tuvalu	tuva1244	Austronesian	-8.520813	179.198088	5
Loniu	abvdoceanic-Loniu_73	loni1238	Austronesian	-2.06124	147.35	5
Maii	abvdoceanic-Maii_1075	maii1238	Austronesian	-16.7388	168.211	5
Mandobo Atas	transnewguineaorg-mandobo-atas	mand1444	Nuclear Trans New Guinea	-5.69357	140.624	5
Mangap-Mbula	abvdoceanic-MangapMbula_1330	mbul1263	Austronesian	-5.66965	148.041	5
Manobo, Ata (up-river)	abvdphilippines-434	atam1240	Austronesian	7.7789	125.499	5
Manobo, Ilianen (Kibudtungan Dialect)	abvdphilippines-437	ilia1236	Austronesian	7.34448	124.766	5
Marovo	tryonsolomon-marovo	maro1244	Austronesian	-8.37943	157.747	5
Masbatenyo	abvdphilippines-755	masb1238	Austronesian	12.21453	123.63579	5
May	sidwellvietic-May	mayy1239	Austroasiatic	17.98149	105.62218	5
Mbambatana	tryonsolomon-mbambatana	baba1268	Austronesian	-7.22281	157.149	5
Mele-Fila	walworthpolynesian-MeleFila	mele1250	Austronesian	-17.6841	168.275	5
Middle High German	iecor-299	midd1343	Indo-European	48.783	9.183	5
Mocoví	idssegmented-mocovi	moco1246	Guaicuruan	-28.097	-60.4145	5
Moraid	berrywestpapuan-Moraid	mora1239	West Bird's Head	-1.04083	131.965	5
Mwera1	tls-Mwera1	mwer1248	Atlantic-Congo	-9.75639	38.8762	5
Mwerlap (Merlav)	abvdoceanic-MwerlapMerlav_1111	merl1237	Austronesian	-14.450679	168.053527	5
N: Havai: Lombaha	vanuatuvoices-Nhavailombaha	lomb1262	Austronesian	-15.31659	167.81886	5
Ngaiawang	bowernpny-Ngaiawang	lowe1402	Pama-Nyungan	-34.6	140.5	5
Nokuku	abvdoceanic-Nokuku_1166	noku1237	Austronesian	-14.8974	166.603	5
Ntẹ́ṛe	polyglottaafricana-X-A-6	teke1281	Atlantic-Congo	-2.98028	13.8603	5
Old English	iecor-298	olde1238	Indo-European	51.06	-1.33	5
Palauan	blustaustronesian-palauan	pala1344	Austronesian	7.34138	134.476678	5
Palawan Batak	abvdphilippines-265	bata1301	Austronesian	10.1115	119.025	5
Pangasinan	abvdphilippines-405	pang1290	Austronesian	15.9377	120.365	5
Penrhyn	walworthpolynesian-Penrhyn	penr1237	Austronesian	-9.082238	-157.922908	5
Phong	idssegmented-phong	phon1246	Austroasiatic	19.9622	104.088	5
Pogoro	tls-Pogoro	pogo1243	Atlantic-Congo	-8.72283	36.4148	5
Rarotongan	abvdoceanic-Rarotongan_58	raro1241	Austronesian	-21.23	-159.78	5
Ririo	tryonsolomon-ririo	riri1237	Austronesian	-6.88927	156.92	5
Roria	abvdoceanic-Roria_1006	rori1237	Austronesian	-15.4048	166.843	5
Ruc	sidwellvietic-Ruc	rucc1239	Austroasiatic	17.68293	105.7841	5
S.W. Palawano	abvdphilippines-494	sout2916	Austronesian	8.67624	117.36	5
S: Raga: Avavanvae	vanuatuvoices-Sragaavavanvae	maew1234	Austronesian	-15.34347	168.127388	5
Sikaiana	tryonsolomon-sikaiana	sika1261	Austronesian	-8.378194	162.72952	5
Spanish	keypano-Spanish	stan1288	Indo-European	40.4414	-1.11788	5
Sre	sidwellbahnaric-sre	koho1244	Austroasiatic	11.6444	108.057	5
Sunwar	halenepal-Sunwar	sunw1242	Sino-Tibetan	27.5201	86.2476	5
Toga	abvdoceanic-Toga_1153	loto1240	Austronesian	-13.334872	166.634338	5
Tongan	idssegmented-tongan	tong1325	Austronesian	-21.17	-175.25	5
Uvea, East	abvdoceanic-UveaEast_258	wall1257	Austronesian	-13.2903	-176.207	5
Wailapa	abvdoceanic-Wailapa_1114	wail1242	Austronesian	-15.5656	166.902	5
Waray-Waray	abvdphilippines-513	wara1300	Austronesian	11.4911	125.012	5
Yami	abvdphilippines-254	yami1254	Austronesian	22.055	121.544	5
Yijiacun	yanglalo-Yijiacun	ekaa1234	Sino-Tibetan	23.475	99.865	5
Akei (Penantsiro)	abvdoceanic-AkeiPenantsiro_1010	akei1237	Austronesian	-15.6377	166.767	4
Akolet	abvdoceanic-Akolet_1395	akol1237	Austronesian	-6.22711	150.182	4
Alak	sidwellbahnaric-alak	alak1253	Austroasiatic	15.5565	106.597	4
Alangan	abvdphilippines-1270	alan1249	Austronesian	13.0982	121.022	4
Albanian	kesslersignificance-Albanian	gheg1238	Indo-European	42.317	21.3837	4
Albanian (Tosk variety)	idssegmented-albaniantoskvariety	tosk1239	Indo-European	41.0	20.0	4
Alekano	transnewguineaorg-alekano	alek1238	Nuclear Trans New Guinea	-6.03901	145.387	4
Ambae, West (Ngwatua)	abvdoceanic-AmbaeWestNgwatua_1144	west2513	Austronesian	-15.4281	167.807	4
Ao Chungli	marrisonnaga-ChungliAo	aona1235	Sino-Tibetan	26.3167	94.5167	4
Archi (variety 2)	idssegmented-archivariety2	arch1244	Nakh-Daghestanian	42.3239	46.8267	4
Aulua: Loxse-Asolokh	vanuatuvoices-Aulualoxseasolokh	aulu1238	Austronesian	-16.322	167.716	4
Awa	transnewguineaorg-awa	awap1236	Nuclear Trans New Guinea	-6.65534	145.714	4
Babuyan	abvdphilippines-289	babu1242	Austronesian	19.48	121.96	4
BahnarPleiku	sidwellbahnaric-bahnarpleiku	bahn1262	Austroasiatic	14.0476	108.471	4
Bantoanon (Banton)	abvdphilippines-708	bant1288	Austronesian	12.5194	122.034	4
Bara	servamalagasy-BaraIhosy	bara1395	Afro-Asiatic	-22.4	46.12	4
Batek Deq Koh	dunnaslian-Batek_Deq_Koh	bate1262	Austroasiatic	4.8223	102.382	4
Bengali	northeuralex-ben	beng1280	Indo-European	24.0	90.0	4
Bezhta	idssegmented-bezhta	bezh1248	Nakh-Daghestanian	42.1206	46.0332	4
Bikol (Buhinon)	abvdphilippines-710	buhi1243	Austronesian	13.17	123.5	4
Bikol (Naga City)	abvdphilippines-47	cent2087	Austronesian	13.7574	123.403	4
Bilaan, Sarangani	abvdphilippines-414	sara1326	Austronesian	6.03691	125.354	4
Biri	bowernpny-Biri	biri1256	Pama-Nyungan	-20.1494	146.67	4
Bongu	transnewguineaorg-bongu	bong1291	Nuclear Trans New Guinea	-5.50519	145.806	4
Brahui	dravlex-Brahui	brah1256	Dravidian	29.04	66.56	4
Brao	sidwellbahnaric-brao	lave1249	Austroasiatic	14.5994	107.008	4
Bukusu E.31c	bantubvd-2	buku1249	Atlantic-Congo	0.68043	34.7719	4
Buli	abvdoceanic-Buli_49	buli1255	Austronesian	1.0008	128.443	4
Bulu	abvdoceanic-Bulu_1203	bulu1253	Austronesian	-5.06134	150.101	4
Bunganditj	bowernpny-Bunganditj	bung1264	Pama-Nyungan	-36.5	140.5	4
Burmese (Written)	marrisonnaga-WrittenBurmese	oldb1235	Sino-Tibetan	21.624974	97.126742	4
Butuanon	abvdphilippines-483	butu1244	Austronesian	8.87009	125.418	4
Capisano	abvdphilippines-660	capi1239	Austronesian	11.4122	122.954	4
Cayapa	idssegmented-cayapa	chac1249	Barbacoan	0.71489	-79.0508	4
Chuanqiandian, Central Guizhou	chenhmongmien-CentralGuizhouChuanqiandian	nort2749	Hmong-Mien	26.231562	106.861969	4
Chukchi	northeuralex-ckt	chuk1273	Chukotko-Kamchatkan	68.64	170.04	4
Colorado	idssegmented-colorado	colo1256	Barbacoan	-0.21181	-79.2347	4
Corongo	crossandean-Yanac	coro1247	Quechuan	-8.57647	-77.9864	4
Ctl: Nalemba: Nasawa	vanuatuvoices-Ctlnalembanasawa	nasa1241	Austronesian	-15.19677	168.112254	4
Ctl: Sungwadola: Gwaran Uta	vanuatuvoices-Ctlsungwadolagwaranuta	tali1260	Austronesian	-15.12506	168.091146	4
Czech	northeuralex-ces	czec1258	Indo-European	49.87	15.1	4
Djabugay	bowernpny-Djabugay	dyaa1242	Pama-Nyungan	-16.596	145.388	4
Embera	idssegmented-embera	nort2972	Chocoan	7.12761	-77.574	4
English	wold-English	stan1293	Indo-European	52.0	0.0	4
Eton	abvdoceanic-Eton_1088	eton1255	Austronesian	-17.74	168.549	4
Fakamae	walworthpolynesian-Emae	emae1237	Austronesian	-17.052	168.399	4
Gamilaraay	bowernpny-Gamilaraay	gami1243	Pama-Nyungan	-29.9037	149.543	4
Gimán	abvdoceanic-Giman_10	gane1237	Austronesian	-0.42618	127.976	4
Gumbaynggir	bowernpny-Gumbaynggir	kumb1268	Pama-Nyungan	-29.8189	152.913	4
Gunggari	bowernpny-Gunggari	kung1258	Pama-Nyungan	-24.2182	143.222	4
Gweno	tls-Gweno	gwen1239	Atlantic-Congo	-3.68407	37.6827	4
Hanunóo	abvdphilippines-13	hanu1241	Austronesian	12.4159	121.221	4
Hoanya Ts82	abvdphilippines-636	papo1239	Austronesian	24.324	120.577	4
Hoava	tryonsolomon-hoava	hoav1238	Austronesian	-8.19679	157.595	4
Hunzib	idssegmented-hunzib	hunz1247	Nakh-Daghestanian	42.0808	46.1369	4
Iau	transnewguineaorg-iau	iauu1242	Lakes Plain	-3.14537	137.69	4
Ilonggo	abvdphilippines-467	hili1240	Austronesian	10.4018	122.974	4
Ingrian	syrjaenenuralic-ingrian	ingr1248	Uralic	59.47403	29.71145	4
Irarutu	abvdoceanic-Irarutu_1364	irar1238	Austronesian	-2.94438	133.586	4
Iraya	abvdphilippines-1269	iray1237	Austronesian	13.381	120.65	4
Irish	northeuralex-gle	iris1253	Indo-European	53.22	-7.62	4
Istro_Romanian	saenkoromance-istroromanian	istr1245	Indo-European	45.433	14.2	4
Jinuo	lamanisoic-Jinuo	youl1235	Sino-Tibetan	22.0473	101.057	4
JruLaven	sidwellbahnaric-jrulaven	lave1248	Austroasiatic	15.2726	106.322	4
Kaidipang	abvdphilippines-29	kaid1239	Austronesian	0.85641	123.217	4
Kairiru	abvdoceanic-Kairiru_30	kair1263	Austronesian	-3.34608	143.558	4
Kakiduge:n Ilongot	abvdphilippines-31	ilon1239	Austronesian	16.3785	121.547	4
Kalinga, Limos	abvdphilippines-672	limo1248	Austronesian	17.6081	121.381	4
Kanuri	wold-Kanuri	cent2050	Saharan	12.0	13.0	4
Kapanawa	blumpanotacana-Capanahua	capa1241	Pano-Tacanan	-6.63254	-74.3813	4
Kapingamarangi	abvdoceanic-Kapingamarangi_217	kapi1249	Austronesian	1.039166	154.797223	4
Kaulong (Au Village)	abvdoceanic-KaulongAuVillage_56	kaul1240	Austronesian	-6.08192	149.696	4
Khalaj	robbeetstriangulation-Khalaj	khal1270	Bookkeeping	36.53	49.58	4
Kia	tryonsolomon-kia	zaba1237	Austronesian	-7.74311	158.753	4
Kilivila	abvdoceanic-Kilivila_159	kili1267	Austronesian	-8.72574	151.072	4
Kis	abvdoceanic-Kis_23	kiss1246	Austronesian	-3.83909	143.96	4
Koro	abvdoceanic-Koro_1032	koro1308	Austronesian	-14.2943	167.467	4
Kuot	transnewguineaorg-kuot	kuot1243		-3.06952	151.537	4
Kusaghe	tryonsolomon-kusaghe	kusa1251	Austronesian	-8.04056	157.463	4
Kusaie	abvdoceanic-Kusaie_65	kosr1238	Austronesian	5.31	162.98	4
Lak (Shali dialect)	idssegmented-lakshalidialect	lakk1252	Nakh-Daghestanian	42.1328	47.0809	4
Leleghia	tryonsolomon-leleghia	chek1238	Austronesian	-8.27055	159.625	4
Loo	othanieljen-Loo	looo1238	Atlantic-Congo	9.41	11.05	4
Luxembourgish	iecor-120	luxe1241	Indo-European	49.75	6.12	4
M.Dip	peirosaustroasiatic-MDip	maaa1253	Austroasiatic	11.52	107.34	4
Maguindanaon	abvdphilippines-685	magu1243	Austronesian	6.9453	124.509	4
Malyangapa	huntergatherer-203	yarl1236	Pama-Nyungan	-29.49049805	140.9591946	4
Manihiki	abvdoceanic-Manihiki_589	raka1237	Austronesian	-10.03	-161.09	4
Manobo, Kalamansig Cotabato (Paril Dialect)	abvdphilippines-438	cota1241	Austronesian	6.39417	124.234	4
Manobo, Sarangani, Kayaponga Dialect	abvdphilippines-439	sara1327	Austronesian	5.84903	125.499	4
Manobo, Tigwa, Iglogsad Dialect	abvdphilippines-440	mati1250	Austronesian	7.72124	125.16	4
Maranao	abvdphilippines-86	mara1404	Austronesian	7.79414	124.175	4
Marquesan	abvdoceanic-Marquesan_38	nort2845	Austronesian	-8.89412	-140.108	4
Masikoro	servamalagasy-MasikoroMiary	masi1268	Austronesian	-23.3	43.72	4
Matumbi	tls-Matumbi	matu1259	Atlantic-Congo	-8.53734	39.0409	4
Mazur Stau	lairgyalrong-MazurStau	daof1238	Sino-Tibetan	31.04136	101.05192	4
Mbuko	gravinachadic-Mbuko	mbuk1243	Afro-Asiatic	10.7788	14.1677	4
Mikea	servamalagasy-MikeaAmpoakafo	mike1243	Austronesian	-22.67	43.75	4
Misme (Zime)	kraftchadic-Mismezime	mesm1239	Afro-Asiatic	9.28888	15.7018	4
Moi	berrywestpapuan-Moi	moii1235	West Bird's Head	-0.96532	131.52	4
Moken	blustaustronesian-moken	moke1242	Austronesian	10.1474	98.6765	4
Moksha	northeuralex-mdf	moks1248	Uralic	54.19	42.67	4
Mpoto	tls-Mpoto	mpot1240	Atlantic-Congo	-11.13767	34.71269	4
Muniche	johanssonsoundsymbolic-Muniche	muni1258		-5.7441796	-76.426712	4
Muruwari	bowernpny-Muruwari	muru1266	Pama-Nyungan	-28.9618	146.546	4
Muyuw	abvdoceanic-Muyuw_646	muyu1244	Austronesian	-9.195	152.731	4
Mzieme	marrisonnaga-Mzieme	mzie1235	Sino-Tibetan	25.5167	93.75	4
Nauna	abvdoceanic-Nauna_96	naun1237	Austronesian	-2.21213	148.201	4
Nduke	tryonsolomon-nduke	duke1237	Austronesian	-7.97768	157.064	4
Niue	abvdoceanic-Niue_247	niue1239	Austronesian	-19.06	-169.86	4
Northern Evenki (Tura)	robbeetstriangulation-NorthernEvenkiTura	ilim1234	Tungusic	64.17	100.13	4
Olonets Karelian	northeuralex-olo	livv1243	Uralic	61.0	33.0	4
Orok	oskolskayatungusic-Orok	orok1265	Tungusic	49.36393	143.12819	4
Paiwan (Kulalao F82)	abvdphilippines-177	paiw1248	Austronesian	22.3271	120.806	4
Papitalai	abvdoceanic-Papitalai_995	papi1254	Austronesian	-2.06222	147.417	4
Pilagá	idssegmented-pilaga	pila1245	Guaicuruan	-25.0058	-60.1537	4
Piðimdi	kraftchadic-Piimdi	tera1251	Afro-Asiatic	11.0376	11.80953	4
Qiandong, South	chenhmongmien-SouthernQiandong	sout2754	Hmong-Mien	25.520166	108.779365	4
Qiang (Mawo)	gaotb-QiangMawo	nort2722	Sino-Tibetan	32.28	103.19	4
Raga	abvdoceanic-Raga_113	hano1246	Austronesian	-15.5432	168.167	4
Ramam	sidwellbahnaric-ramam	roma1331	Austroasiatic	14.34	107.447	4
Rufiji	tls-Rufiji	nden1248	Atlantic-Congo	-7.54628	38.958	4
Samo	transnewguineaorg-samo	samo1303	East Strickland	-6.15496	142.195	4
Sangir	abvdphilippines-183	sang1336	Austronesian	3.0	125.5	4
Sapuan	sidwellbahnaric-sapuan	sapu1248	Austroasiatic	15.3692	106.843	4
Sardinian: Logudoro	iecor-62	sout2614	Indo-European	40.5	8.85	4
Sema	marrisonnaga-Sema	sumi1235	Sino-Tibetan	25.85	94.2667	4
Shatt	johanssonsoundsymbolic-Shatt	shat1244	Dajuic	10.8525	29.7687	4
Sihanaka	servamalagasy-SihanakaMoraranoChrome	siha1244	Austronesian	-17.75	48.17	4
Simbo	tryonsolomon-simbo	simb1256	Austronesian	-8.26947	156.541	4
Sinaugoro	transnewguineaorg-sinaugoro	sina1266	Austronesian	-9.79791	147.861	4
Sio	abvdoceanic-Sio_1355	sioo1240	Austronesian	-5.96037	147.353	4
Ske (Seke)	abvdoceanic-SkeSeke_645	seke1241	Austronesian	-15.8839	168.197	4
Southern Sami	northeuralex-sma	sout2674	Uralic	64.25	12.6	4
Stieng	sidwellbahnaric-stieng	bulo1242	Austroasiatic	11.9777	106.798	4
Suba	tls-Suba	suba1238	Atlantic-Congo	-0.95719	34.1033	4
Subanun, Sindangan	abvdphilippines-447	cent2089	Austronesian	8.12701	123.018	4
Tadyawan	abvdphilippines-1271	tady1237	Austronesian	13.0211	121.305	4
Tagbanwa, Kalamian, Coron Island Dialect	abvdphilippines-451	cala1258	Austronesian	12.0716	120.094	4
Talise	tryonsolomon-talise	tali1259	Austronesian	-9.76764	160.231	4
Taliu	yangyi-Talu	talu1238	Sino-Tibetan	26.55219217	100.8467043	4
Tangoa	abvdoceanic-Tangoa_1027	tang1347	Austronesian	-15.5643	166.958	4
Terei	johanssonsoundsymbolic-Terei	tere1278	South Bougainville	-6.70051	155.745	4
Tibetan (Sherpa)	halenepal-SherpaTibetan	sher1255	Sino-Tibetan	27.674	86.9994	4
Tontemboan	abvdphilippines-137	tont1239	Austronesian	1.24813	124.654	4
Ughele	tryonsolomon-ughele	ughe1237	Austronesian	-8.45725	157.341	4
Ulch	oskolskayatungusic-Ulcha	ulch1241	Tungusic	51.85209	140.29045	4
W: Walaha	vanuatuvoices-Wwalaha	wala1268	Austronesian	-15.40071	167.701737	4
Wadaginam	transnewguineaorg-wadaginam	wada1263	Nuclear Trans New Guinea	-4.52754	144.972	4
Wagi	transnewguineaorg-wagi	wagi1249	Nuclear Trans New Guinea	-5.17834	145.726	4
Wanambre	transnewguineaorg-wanambre	wana1269	Nuclear Trans New Guinea	-4.78822	145.419	4
Wangkumara	bowernpny-Wangkumara	wong1246	Pama-Nyungan	-27.10149	143.19619	4
Welsh: North	iecor-236	nort2668	Indo-European	53.09	-3.8	4
Western Bukidnon Manobo	abvdphilippines-144	west2555	Austronesian	7.6682	124.825	4
White Hmong	wold-WhiteHmong	hmon1333	Hmong-Mien	26.0	105.0	4
Wogeo	abvdoceanic-Wogeo_146	woge1237	Austronesian	-3.20238	144.089	4
Yaben	transnewguineaorg-yaben	yabe1255	Nuclear Trans New Guinea	-4.90868	145.361	4
Yabula Yabula	bowernpny-YabulaYabula	yabu1234	Pama-Nyungan	-35.76116	145.23209	4
Yapese	abvdoceanic-Yapese_77	yape1248	Austronesian	9.55811	138.125	4
Yekora	transnewguineaorg-yekora	yeko1240	Nuclear Trans New Guinea	-7.86248	147.463	4
Yiddish	idssegmented-yiddish	east2295	Indo-European	51.75	19.42	4
Yogad	abvdphilippines-713	yoga1237	Austronesian	16.7015	121.718	4
Zeme	marrisonnaga-Zeme	zeme1240	Sino-Tibetan	25.1833	93.2	4
anjam	zgraggenmadang-anjam	anja1238	Nuclear Trans New Guinea	-5.45899	145.717	4
ganglau	zgraggenmadang-ganglau	gang1270	Nuclear Trans New Guinea	-5.57945	146.1305	4
male	zgraggenmadang-male	male1291	Nuclear Trans New Guinea	-5.49975	145.757	4
migum	zgraggenmadang-migum	kolo1267	Nuclear Trans New Guinea	-5.57832	146.212	4
sam	zgraggenmadang-sam	samm1244	Nuclear Trans New Guinea	-5.55572	145.813	4
Aché	idssegmented-ache	ache1246	Tupian	-25.5865	-56.4697	3
Agta	abvdphilippines-409	cent2084	Austronesian	17.9571	121.857	3
Alsea	johanssonsoundsymbolic-Alsea	alse1251		44.408	-123.94	3
Amara	abvdoceanic-Amara_285	amar1272	Austronesian	-5.55778	148.68	3
Amblong	abvdoceanic-Amblong_1042	ambl1237	Austronesian	-15.5169	166.95	3
Ambrym, North (Fonah)	abvdoceanic-AmbrymNorthFonah_1131	nort2839	Austronesian	-16.1741	168.14	3
Ancient Greek	idssegmented-ancientgreek	anci1242	Indo-European	39.8155	21.9129	3
Andi	idssegmented-andi	andi1255	Nakh-Daghestanian	42.8078	46.2919	3
Andoke	huntergatherer-97	ando1256		-0.53751	-72.0869	3
Antambohoaka	servamalagasy-AntambohoakaMananjary	anta1260	Austronesian	-21.22	48.33	3
Antanalana	servamalagasy-AntanalanaManorofify	anta1262	Austronesian	-23.52	43.97	3
Apali	transnewguineaorg-apali	apal1256	Nuclear Trans New Guinea	-5.1727	145.023	3
Arabana	bowernpny-Arabana	arab1267	Pama-Nyungan	-28.705	135.449	3
Araki (Southwest Santo)	abvdoceanic-ArakiSouthwestSanto_465	arak1252	Austronesian	-15.632997	166.952542	3
Arop	abvdoceanic-Arop_1360	arop1242	Austronesian	-3.06984	142.12	3
Arta	abvdphilippines-1211	arta1239	Austronesian	16.4185	121.656	3
Assamese	iecor-272	assa1263	Indo-European	26.23	92.52	3
